2025-03-31 16:25:51,752 - INFO - Step 1: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-03-31 16:25:52,543 - INFO - Step 1: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-03-31 16:25:52,574 - INFO - Step 1: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-03-31 16:25:53,097 - INFO - Step 1: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-03-31 16:25:53,681 - INFO - Step 1: Action [2], Reward [-0.1], Episode 0, Trade Count 0
2025-03-31 16:26:01,568 - INFO - Step 2: Action [1], Reward [-0.1], Episode 0, Trade Count 0
2025-03-31 16:26:01,769 - INFO - Step 2: Action [2], Reward [-0.1], Episode 0, Trade Count 0
2025-03-31 16:26:02,562 - INFO - Step 2: Action [1], Reward [-0.1], Episode 0, Trade Count 0
2025-03-31 16:26:02,590 - INFO - Step 2: Action [1], Reward [-0.1], Episode 0, Trade Count 0
2025-03-31 16:26:03,117 - INFO - Step 2: Action [2], Reward [-0.1], Episode 0, Trade Count 0
2025-03-31 16:26:03,695 - INFO - Step 2: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-03-31 16:26:11,587 - INFO - Step 3: Action [1], Reward [-0.1], Episode 0, Trade Count 0
2025-03-31 16:26:11,782 - INFO - Step 3: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-03-31 16:26:12,575 - INFO - Step 3: Action [1], Reward [-0.1], Episode 0, Trade Count 0
2025-03-31 16:26:12,601 - INFO - Step 3: Action [1], Reward [-0.1], Episode 0, Trade Count 0
2025-03-31 16:26:13,129 - INFO - Step 3: Action [1], Reward [-0.1], Episode 0, Trade Count 0
2025-03-31 16:26:13,712 - INFO - Step 3: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-03-31 16:26:21,607 - INFO - Step 4: Action [1], Reward [-0.1], Episode 0, Trade Count 0
2025-03-31 16:26:21,801 - INFO - Step 4: Action [1], Reward [-0.1], Episode 0, Trade Count 0
2025-03-31 16:26:22,590 - INFO - Step 4: Action [1], Reward [-0.1], Episode 0, Trade Count 0
2025-03-31 16:26:22,615 - INFO - Step 4: Action [2], Reward [-0.1], Episode 0, Trade Count 0
2025-03-31 16:26:23,141 - INFO - Step 4: Action [1], Reward [-0.1], Episode 0, Trade Count 0
2025-03-31 16:26:23,728 - INFO - Step 4: Action [1], Reward [-0.1], Episode 0, Trade Count 0
2025-03-31 16:26:31,619 - INFO - Step 5: Action [1], Reward [-0.1], Episode 0, Trade Count 0
2025-03-31 16:26:31,815 - INFO - Step 5: Action [2], Reward [-0.1], Episode 0, Trade Count 0
2025-03-31 16:26:32,602 - INFO - Step 5: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-03-31 16:26:32,626 - INFO - Step 5: Action [2], Reward [-0.1], Episode 0, Trade Count 0
2025-03-31 16:26:33,155 - INFO - Step 5: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-03-31 16:26:33,744 - INFO - Step 5: Action [1], Reward [-0.1], Episode 0, Trade Count 0
2025-03-31 16:26:41,634 - INFO - Step 6: Action [0], Reward [0.001], Episode 0, Trade Count 0
